filename,estimated_speed,Vb_speed,speed_difference
2024-03-29_vicon_100.bin,0.4198683209618953,-1.0,1.4198683209618954
2024-03-29_vicon_105.bin,0.43852310665838395,-1.0,1.438523106658384
2024-03-29_vicon_110.bin,0.4642274275867528,-1.0,1.4642274275867528
2024-03-29_vicon_115.bin,0.5128242151559934,-1.0,1.5128242151559934
2024-03-29_vicon_120.bin,0.518922676878889,-1.0,1.518922676878889
2024-03-29_vicon_125.bin,0.525183547908092,-1.0,1.525183547908092
2024-03-29_vicon_130.bin,0.5276682463341033,-1.0,1.5276682463341031
2024-03-29_vicon_135.bin,0.5324869879509021,-1.0,1.532486987950902
2024-03-29_vicon_140.bin,0.5523943700155082,-1.0,1.552394370015508
2024-03-29_vicon_145.bin,0.5635015354826802,-1.0,1.5635015354826802
2024-03-29_vicon_15.bin,0.4391847398579014,6.31,-5.870815260142098
2024-03-29_vicon_150.bin,0.4592056963693352,-1.0,1.4592056963693352
2024-03-29_vicon_155.bin,0.4773247694019594,-1.0,1.4773247694019593
2024-03-29_vicon_160.bin,0.491127965408517,-1.0,1.491127965408517
2024-03-29_vicon_165.bin,0.5036345762209646,-1.0,1.5036345762209646
2024-03-29_vicon_170.bin,0.5208006786137183,-1.0,1.5208006786137183
2024-03-29_vicon_175.bin,0.5328817408962485,-1.0,1.5328817408962485
2024-03-29_vicon_180.bin,0.5539076684842992,-1.0,1.5539076684842992
2024-03-29_vicon_185.bin,0.5669520177091415,-1.0,1.5669520177091414
2024-03-29_vicon_190.bin,0.5770865708931896,-1.0,1.5770865708931896
2024-03-29_vicon_195.bin,0.5882086648579604,-1.0,1.5882086648579605
2024-03-29_vicon_20.bin,0.5375514695303533,9.37,-8.832448530469646
2024-03-29_vicon_200.bin,0.5494147840996598,-1.0,1.54941478409966
2024-03-29_vicon_205.bin,0.5649115831483945,-1.0,1.5649115831483944
2024-03-29_vicon_210.bin,0.5738886646330038,-1.0,1.573888664633004
2024-03-29_vicon_215.bin,0.5848649544308573,-1.0,1.5848649544308573
2024-03-29_vicon_220.bin,0.5960125234941647,-1.0,1.5960125234941647
2024-03-29_vicon_225.bin,0.6066176081568111,-1.0,1.606617608156811
2024-03-29_vicon_25.bin,0.5846675649148095,13.04,-12.45533243508519
2024-03-29_vicon_30.bin,0.5647053412710111,15.91,-15.345294658728989
2024-03-29_vicon_35.bin,0.5479713515586528,18.18,-17.63202864844135
2024-03-29_vicon_40.bin,0.5338293452589851,22.64,-22.106170654741014
2024-03-29_vicon_45.bin,0.5221447896068615,25.53,-25.00785521039314
2024-03-29_vicon_50.bin,0.5123353354202236,28.57,-28.057664664579775
2024-03-29_vicon_55.bin,0.5037216260513983,30.76,-30.256278373948604
2024-03-29_vicon_60.bin,0.49640544691622,34.28,-33.78359455308378
2024-03-29_vicon_65.bin,0.4910375646810824,37.5,-37.00896243531892
2024-03-29_vicon_70.bin,0.48600732158583043,39.21,-38.72399267841417
2024-03-29_vicon_75.bin,0.4833517947730999,42.85,-42.3666482052269
2024-03-29_vicon_80.bin,0.4822316419516198,46.15,-45.66776835804838
2024-03-29_vicon_85.bin,0.48242330400246686,54.54,-54.05757669599753
2024-03-29_vicon_90.bin,0.4809970018869545,-1.0,1.4809970018869545
2024-03-29_vicon_95.bin,0.48188870986507115,-1.0,1.4818887098650713
2024-03-29_vicon_test_14.bin,0.46075878638532325,-1.0,1.4607587863853233
2024-03-29_vicon_test_15.bin,0.42829022777261944,-1.0,1.4282902277726195
2024-03-29_vicon_test_start_10.bin,0.3961438784966465,3.0,-2.6038561215033535
